Company Name,Location,Industry,Founded,Headquarters,CEO,Employees Number
Power Assets Holdings,"Hong Kong, Hong Kong",Utilities,1889,Hong Kong,Chao Chung Tsai,13
Foot Locker,"New York, New York","Clothing, Shoes, Sports Equipment",1974,"New York, New York",Richard Johnson,"49,933"
Hyundai Engineering,"Seoul, South Korea",Construction,1950,Seoul,Dong-Wook Park,"6,324"
Xinyi Glass Holdings,"Hong Kong, Hong Kong",Consumer Durables,1988,Hong Kong,Ching Sai Tung,"13,117"
DGB Financial Group,"Daegu, South Korea",Banking,2011,Daegu,Tae-O Kim,"4,606"
Bank of Jiujiang,"Hong Kong, Hong Kong",Banking,2000,Hong Kong,Ming Pan,"4,624"
First Pacific,"Hong Kong, Hong Kong",Diversified Financials,1981,Hong Kong,Manuel Velez Pangilinan,"100,120"
Newell Brands,"Atlanta, Georgia",Packaged Goods,1903,"Atlanta, Georgia",Ravi Saligram,"32,000"
Taiwan Business Bank,"Taipei, Taiwan",Banking,1950,Taipei,Chien An Shih,"5,483"
Zhejiang Chint Electrics,"Wenzhou, China",Capital Goods,1997,Wenzhou,"28,127",
Juroku  Financial Group,"Gifu, Japan",Banking,1877,Gifu,Yukio Murase,"2,839"
EMS-Chemie Holding,"Herrliberg, Switzerland",Chemicals,1936,Herrliberg,Magdalena Martullo-Blocher,"2,780"
Lindt & Sprungli,"Kilchberg, Switzerland","Food, Drink & Tobacco",1845,Kilchberg,Dieter R. Weisskopf,"14,000"
Akamai Technologies,"Cambridge, Massachusetts","IT, Internet, Software & Services",1998,"Cambridge, Massachusetts",Tom Leighton,"8,700"
Iyo Bank,"Matsuyama, Japan",Banking,1878,Matsuyama,Kenji Miyoshi,"3,071"
Medical Properties Trust,"Birmingham, Alabama",Diversified Financials,2003,"Birmingham, Alabama",Edward K. Aldag,112
Avenue Supermarts,"Thane, India",Retailing,2000,Thane,Ignatius Navil Noronha,"47,044"
Shandong Hualu-Hengsheng Chemical,"Dezhou, China",Chemicals,2000,Dezhou,Huai Chun Chang,"4,476"
SKF Group,"Gothenburg, Sweden",Materials,1907,Gothenburg,Rickard Gustafson,"42,602"
Bajaj Auto,"Pune, India",Consumer Durables,1945,Pune,Rajivnayan Rahulkumar Bajaj,"10,052"
FAW Jiefang Group,"Changchun, China",Consumer Durables,1997,Changchun,Bi Lei Wu,"20,684"
Chewy,"Dania Beach, Florida",Retail and Wholesale,2011,"Dania Beach, Florida",Sumit Singh,"21,300"
Bandai Namco Holdings,"Tokyo, Japan",Consumer Durables,2005,Tokyo,", Hideo Tanaka","9,550"
Bayan Resources,"Jakarta, Indonesia",Materials,2004,Jakarta,Tuck Kwong Low,"2,876"
Constellation Software,"Toronto, Canada",IT Software & Services,1995,Toronto,Mark Henri Leonard,"15,000"
Burlington Stores,"Burlington, New Jersey",Retailing,1972,"Burlington, New Jersey",Michael B. O'Sullivan,"62,395"
Alfresa Holdings,"Tokyo, Japan",Drugs & Biotechnology,2003,Tokyo,Hiroyuki Kanome,"12,045"
